ID da Transação;Data;Tipo;Descrição;Categoria;Produto;Quantidade;Valor (R$);Custo (R$)
CMV04007;2025-04-01;Despesa;Custo da Mercadoria Vendida (Laptop Empresarial);Custo de Venda;Laptop Empresarial;1;-3500.0;3500.0
VENDA04007;2025-04-01;Receita;Venda de 1x Laptop Empresarial;Venda - Hardware;Laptop Empresarial;1;5500.0;3500.0
VENDA04027;2025-04-01;Receita;Venda de 1x Mouse Ergonômico;Venda - Acessório;Mouse Ergonômico;1;150.0;80.0
CMV04027;2025-04-01;Despesa;Custo da Mercadoria Vendida (Mouse Ergonômico);Custo de Venda;Mouse Ergonômico;1;-80.0;80.0
CMV04030;2025-04-02;Despesa;Custo da Mercadoria Vendida (Webcam HD);Custo de Venda;Webcam HD;1;-100.0;100.0
VENDA04030;2025-04-02;Receita;Venda de 1x Webcam HD;Venda - Acessório;Webcam HD;1;190.0;100.0
VENDA04003;2025-04-02;Receita;Venda de 1x Webcam HD;Venda - Acessório;Webcam HD;1;190.0;100.0
CMV04003;2025-04-02;Despesa;Custo da Mercadoria Vendida (Webcam HD);Custo de Venda;Webcam HD;1;-100.0;100.0
FIXA04ALU;2025-04-03;Despesa;Aluguel Escritório;Despesa Fixa;;0;-5000.0;5000.0
FIXA04SER;2025-04-03;Despesa;Serviços de Internet/Telefonia;Despesa Fixa;;0;-500.0;500.0
FIXA04CON;2025-04-03;Despesa;Contabilidade Mensal;Despesa Fixa;;0;-800.0;800.0
FIXA04SAL;2025-04-03;Despesa;Salários (Equipe Fixa);Despesa Fixa;;0;-15000.0;15000.0
VENDA04011;2025-04-04;Receita;Venda de 1x Teclado Mecânico;Venda - Acessório;Teclado Mecânico;1;280.0;150.0
CMV04011;2025-04-04;Despesa;Custo da Mercadoria Vendida (Teclado Mecânico);Custo de Venda;Teclado Mecânico;1;-150.0;150.0
CMV04001;2025-04-05;Despesa;Custo da Mercadoria Vendida (Laptop Empresarial);Custo de Venda;Laptop Empresarial;2;-7000.0;7000.0
VENDA04001;2025-04-05;Receita;Venda de 2x Laptop Empresarial;Venda - Hardware;Laptop Empresarial;2;11000.0;7000.0
VAR04MAT;2025-04-06;Despesa;Material de Escritório;Despesa Variável;;0;-240.55;240.55
