ID da Transação;Data;Tipo;Descrição;Categoria;Produto;Quantidade;Valor (R$);Custo (R$)
VENDA08015;2025-08-01;Receita;Venda de 1x Laptop Empresarial;Venda - Hardware;Laptop Empresarial;1;5500.0;3500.0
CMV08015;2025-08-01;Despesa;Custo da Mercadoria Vendida (Laptop Empresarial);Custo de Venda;Laptop Empresarial;1;-3500.0;3500.0
VENDA08033;2025-08-03;Receita;Venda de 3x Webcam HD;Venda - Acessório;Webcam HD;3;570.0;300.0
CMV08033;2025-08-03;Despesa;Custo da Mercadoria Vendida (Webcam HD);Custo de Venda;Webcam HD;3;-300.0;300.0
FIXA08SER;2025-08-03;Despesa;Serviços de Internet/Telefonia;Despesa Fixa;;0;-500.0;500.0
FIXA08CON;2025-08-03;Despesa;Contabilidade Mensal;Despesa Fixa;;0;-800.0;800.0
VENDA08003;2025-08-03;Receita;Venda de 1x Laptop Empresarial;Venda - Hardware;Laptop Empresarial;1;5500.0;3500.0
CMV08003;2025-08-03;Despesa;Custo da Mercadoria Vendida (Laptop Empresarial);Custo de Venda;Laptop Empresarial;1;-3500.0;3500.0
FIXA08SAL;2025-08-03;Despesa;Salários (Equipe Fixa);Despesa Fixa;;0;-15000.0;15000.0
FIXA08ALU;2025-08-03;Despesa;Aluguel Escritório;Despesa Fixa;;0;-5000.0;5000.0
CMV08021;2025-08-03;Despesa;Custo da Mercadoria Vendida (Teclado Mecânico);Custo de Venda;Teclado Mecânico;3;-450.0;450.0
VENDA08021;2025-08-03;Receita;Venda de 3x Teclado Mecânico;Venda - Acessório;Teclado Mecânico;3;840.0;450.0
VENDA08048;2025-08-03;Receita;Venda de 1x Teclado Mecânico;Venda - Acessório;Teclado Mecânico;1;280.0;150.0
CMV08048;2025-08-03;Despesa;Custo da Mercadoria Vendida (Teclado Mecânico);Custo de Venda;Teclado Mecânico;1;-150.0;150.0
CMV08039;2025-08-04;Despesa;Custo da Mercadoria Vendida (Servidor Cloud (Mensal));Custo de Venda;Servidor Cloud (Mensal);1;-800.0;800.0
VENDA08039;2025-08-04;Receita;Venda de 1x Servidor Cloud (Mensal);Venda - Serviço;Servidor Cloud (Mensal);1;1500.0;800.0
CMV08049;2025-08-05;Despesa;"Custo da Mercadoria Vendida (Monitor 27"" 4K)";Custo de Venda;"Monitor 27"" 4K";1;-1200.0;1200.0
VENDA08020;2025-08-05;Receita;Venda de 1x Mouse Ergonômico;Venda - Acessório;Mouse Ergonômico;1;150.0;80.0
VENDA08049;2025-08-05;Receita;"Venda de 1x Monitor 27"" 4K";Venda - Hardware;"Monitor 27"" 4K";1;1800.0;1200.0
VENDA08013;2025-08-05;Receita;Venda de 1x Mouse Ergonômico;Venda - Acessório;Mouse Ergonômico;1;150.0;80.0
CMV08020;2025-08-05;Despesa;Custo da Mercadoria Vendida (Mouse Ergonômico);Custo de Venda;Mouse Ergonômico;1;-80.0;80.0
CMV08013;2025-08-05;Despesa;Custo da Mercadoria Vendida (Mouse Ergonômico);Custo de Venda;Mouse Ergonômico;1;-80.0;80.0
VENDA08038;2025-08-06;Receita;Venda de 1x Licença Software CRM;Venda - Software;Licença Software CRM;1;999.0;500.0
CMV08016;2025-08-06;Despesa;Custo da Mercadoria Vendida (Mouse Ergonômico);Custo de Venda;Mouse Ergonômico;1;-80.0;80.0
VAR08MAT;2025-08-06;Despesa;Material de Escritório;Despesa Variável;;0;-215.62;215.62
CMV08038;2025-08-06;Despesa;Custo da Mercadoria Vendida (Licença Software CRM);Custo de Venda;Licença Software CRM;1;-500.0;500.0
VENDA08016;2025-08-06;Receita;Venda de 1x Mouse Ergonômico;Venda - Acessório;Mouse Ergonômico;1;150.0;80.0
VENDA08006;2025-08-06;Receita;Venda de 1x Laptop Empresarial;Venda - Hardware;Laptop Empresarial;1;5500.0;3500.0
CMV08006;2025-08-06;Despesa;Custo da Mercadoria Vendida (Laptop Empresarial);Custo de Venda;Laptop Empresarial;1;-3500.0;3500.0
VENDA08040;2025-08-07;Receita;"Venda de 2x Monitor 27"" 4K";Venda - Hardware;"Monitor 27"" 4K";2;3600.0;2400.0
CMV08024;2025-08-07;Despesa;Custo da Mercadoria Vendida (Webcam HD);Custo de Venda;Webcam HD;1;-100.0;100.0
VENDA08024;2025-08-07;Receita;Venda de 1x Webcam HD;Venda - Acessório;Webcam HD;1;190.0;100.0
CMV08040;2025-08-07;Despesa;"Custo da Mercadoria Vendida (Monitor 27"" 4K)";Custo de Venda;"Monitor 27"" 4K";2;-2400.0;2400.0
CMV08028;2025-08-08;Despesa;Custo da Mercadoria Vendida (Laptop Empresarial);Custo de Venda;Laptop Empresarial;2;-7000.0;7000.0
VENDA08028;2025-08-08;Receita;Venda de 2x Laptop Empresarial;Venda - Hardware;Laptop Empresarial;2;11000.0;7000.0
CMV08026;2025-08-08;Despesa;Custo da Mercadoria Vendida (Laptop Empresarial);Custo de Venda;Laptop Empresarial;1;-3500.0;3500.0
VENDA08026;2025-08-08;Receita;Venda de 1x Laptop Empresarial;Venda - Hardware;Laptop Empresarial;1;5500.0;3500.0
VENDA08022;2025-08-08;Receita;Venda de 2x Servidor Cloud (Mensal);Venda - Serviço;Servidor Cloud (Mensal);2;3000.0;1600.0
CMV08022;2025-08-08;Despesa;Custo da Mercadoria Vendida (Servidor Cloud (Mensal));Custo de Venda;Servidor Cloud (Mensal);2;-1600.0;1600.0
VENDA08009;2025-08-08;Receita;Venda de 1x Laptop Empresarial;Venda - Hardware;Laptop Empresarial;1;5500.0;3500.0
